FILE,SNR,PSNR,SSIM,PESQ
speaker1,20.484142303466797,28.027375262383195,0.7643703305483635,1.5810637474060059
speaker18,13.765038251876831,27.619965270344093,0.8722979593183927,1.503406047821045
speaker19,10.824651718139648,27.53176272654798,0.9121781404135416,1.4962631464004517
speaker2,20.506889820098877,26.333706507305926,0.9292117341744093,1.4980688095092773
speaker20,20.36353349685669,27.66031517523531,0.8736885133570855,1.4924876689910889
speaker21,24.731364250183105,26.525613278909432,0.8929822340037772,1.455324649810791
speaker22,17.491607666015625,27.775562696321884,0.8657559272322537,1.5410315990447998
speaker23,12.552961111068726,27.67011015379614,0.9366125973372426,1.4378809928894043
speaker24,11.58581018447876,27.117279237615545,0.9210256727504467,1.5699634552001953
speaker3,13.099889755249023,26.606324424035254,0.9315694888616425,1.3879446983337402
speaker4,18.5074782371521,27.201787906329102,0.9200007742680537,1.608302116394043
speaker10,19.468960762023926,27.345083799598456,0.9152822704723584,1.6920067071914673
speaker5,17.423067092895508,27.80018653591215,0.8956557389693285,1.7228705883026123
speaker6,12.203434705734253,25.833242203093313,0.9265480641626859,1.6335159540176392
speaker6,13.499194383621216,26.766618780304626,0.9078929048582782,1.037574291229248
speaker7,12.415467500686646,26.646094997556364,0.897169018400829,1.0577049255371094
speaker8,18.710217475891113,28.21897023427093,0.9041406993067753,1.239351511001587
speaker9,12.950202226638794,26.913714165598495,0.9103752695075771,1.1540988683700562
speaker11,17.452592849731445,25.87060147298732,0.9174180944700356,1.1240391731262207
speaker12,12.49711275100708,26.64610158871683,0.8998231468922991,1.0602226257324219
speaker13,17.039977312088013,28.08606138120654,0.9167967364028549,1.2257604598999023
speaker14,12.414153814315796,26.572706491916918,0.9367058250772058,1.1107537746429443
speaker15,23.448376655578613,27.684655051392358,0.8774421069611597,1.0677000284194946
speaker16,16.319148540496826,27.734897139931533,0.900067261515525,1.2272028923034668
