FILE,SNR,PSNR,SSIM,PESQ
speaker1,13.417420387268066,23.22695487391577,0.748935640095692,1.3132576942443848
speaker18,15.860226154327393,23.105143501975203,0.8041624405357222,1.320544719696045
speaker19,14.972423315048218,22.66977397751993,0.8307640773112074,1.3512916564941406
speaker2,20.001201629638672,22.559633429413005,0.8237647903109055,1.3996976613998413
speaker20,20.62192440032959,22.62437908468162,0.8219296257750461,1.2872408628463745
speaker21,21.266295909881592,23.15437165775345,0.8271746201939569,1.355706810951233
speaker22,17.90452241897583,22.596463751822853,0.8033068129320059,1.3763362169265747
speaker23,18.779972791671753,22.451478761027385,0.8428698953331513,1.3295670747756958
speaker24,15.71935772895813,23.171939776400503,0.8274455162364407,1.4228549003601074
speaker3,19.024150371551514,23.385064853905373,0.8373767724666711,1.2665690183639526
speaker4,22.35546588897705,22.68552848523481,0.8364136265033854,1.4522037506103516
speaker10,23.916358947753906,22.419267946455342,0.8343664878230523,1.5943448543548584
speaker5,16.182053089141846,22.69330216678414,0.8245765258065516,1.537149429321289
speaker6,17.11774230003357,22.22997187726463,0.8233765064304959,1.5234689712524414
speaker6,11.926572322845459,23.03358017144773,0.8286861523897149,1.0809166431427002
speaker7,18.601820468902588,22.703619254123602,0.8297857295764558,1.0639642477035522
speaker8,18.170186281204224,22.169523945468775,0.8229065732694317,1.1189501285552979
speaker9,23.894355297088623,23.36658399465039,0.8321674865507862,1.1134326457977295
speaker11,13.232780694961548,23.632431558847994,0.8252529936110325,1.1526710987091064
speaker12,23.779544830322266,23.53383422800953,0.8251232163737823,1.0742604732513428
speaker13,23.980841636657715,22.811714599781666,0.8259680989086702,1.2284640073776245
speaker14,17.183921337127686,22.93378074407213,0.8258372155546049,1.1017978191375732
speaker15,23.426227569580078,22.7570689266673,0.8235476022504877,1.0566529035568237
speaker16,16.031413078308105,23.73119177703815,0.8221542078286408,1.2397675514221191
