FILE,SNR,PSNR,SSIM,PESQ
speaker1,16.012933254241943,29.048444504958862,0.86659452762817,1.2995314598083496
speaker18,14.551527500152588,27.61414843705176,0.9252172168044834,1.4043817520141602
speaker19,12.666906118392944,28.506013534521735,0.9350810076258654,1.4059267044067383
speaker2,20.5790376663208,26.484441880061233,0.9320161015783881,1.6621017456054688
speaker20,16.343698501586914,26.055010820565027,0.899605057370565,1.5811975002288818
speaker21,15.98875880241394,28.022701615999814,0.9229243787230851,1.5526524782180786
speaker22,18.553954362869263,28.577623647293656,0.9234423609226985,1.4011445045471191
speaker23,18.4026038646698,27.09498720838075,0.9361436342072894,1.3862206935882568
speaker24,12.748724222183228,26.5483758198813,0.9234800297766665,1.5390077829360962
speaker3,13.166571855545044,25.84119091146426,0.9360701988110884,1.4075769186019897
speaker4,16.688168048858643,26.645998014494587,0.9303582245763254,1.563936710357666
speaker10,20.082411766052246,27.12016211790057,0.9309026835444472,1.7040631771087646
speaker5,15.37969708442688,26.9270176360385,0.932900560822226,1.6381266117095947
speaker6,12.576838731765747,26.129982921086025,0.9346112339514201,1.679800271987915
speaker6,13.785427808761597,27.156438888671804,0.9298281337596095,1.0379360914230347
speaker7,13.315050601959229,27.50855797553175,0.9255680985175487,1.0560472011566162
speaker8,16.314246654510498,28.23665892141698,0.9243128706466535,1.1070042848587036
speaker9,16.273051500320435,26.715735576019306,0.930777834699926,1.173790693283081
speaker11,14.439865350723267,26.874136834086222,0.9331144605746167,1.1687613725662231
speaker12,15.132251977920532,26.890607901959754,0.9216570838669741,1.0686982870101929
speaker13,14.7146737575531,26.750824099812952,0.9252827219814831,1.2512518167495728
speaker14,13.736162185668945,26.56636604281266,0.9318723200168669,1.167659878730774
speaker15,22.310645580291748,27.188856308613822,0.9103226818649474,1.0650722980499268
speaker16,15.869948863983154,28.007031386169736,0.9227713703987619,1.3017683029174805
