FILE,SNR,PSNR,SSIM,PESQ
speaker1,26.19774580001831,23.58329728012538,0.7952228489304096,1.3927392959594727
speaker18,14.273383617401123,23.393856149080797,0.8585548722242641,1.678056001663208
speaker19,12.932337522506714,22.186265716391212,0.8538938094358411,1.8277559280395508
speaker2,13.754663467407227,22.86725936752739,0.8566714444656118,1.9167042970657349
speaker20,14.918502569198608,23.421615678147546,0.8336046030208264,1.7048139572143555
speaker21,25.251407623291016,23.299893677536474,0.8567763108858254,1.7098841667175293
speaker22,13.719872236251831,22.695298565889797,0.8388750813435102,1.7567627429962158
speaker23,13.000985383987427,22.232299174471013,0.8578855006945274,1.761988639831543
speaker24,12.713699340820312,23.2309022832979,0.8544595264307655,2.0546422004699707
speaker3,15.55429458618164,22.779154731447534,0.8536315748638503,1.9028935432434082
speaker4,13.199496269226074,22.211136783216116,0.8437460170589122,2.0122287273406982
speaker10,16.088026762008667,22.762530379093164,0.8564833309599668,2.13291072845459
speaker5,15.802762508392334,22.47732036848587,0.8518598095127179,2.0237295627593994
speaker6,13.140313625335693,22.531846893714004,0.8490442180176222,1.9662681818008423
speaker6,17.01085090637207,23.36328022563764,0.8494820492206558,1.0702357292175293
speaker7,14.495848417282104,22.68384359999635,0.8389186091313751,1.0648353099822998
speaker8,23.93505096435547,23.10980912158055,0.8471665898082894,1.1080756187438965
speaker9,21.109089851379395,23.454103492801718,0.8662932026762836,1.153904676437378
speaker11,15.36360502243042,23.62953231141136,0.85749994873248,1.2034368515014648
speaker12,18.35013508796692,23.654456503908328,0.8587124155165479,1.0647823810577393
speaker13,17.357981204986572,22.93234669270998,0.852402056027742,1.4070848226547241
speaker14,15.934337377548218,23.396926594785814,0.8556218564715128,1.0854607820510864
speaker15,22.46720314025879,23.40782407294604,0.8422092142711509,1.0523091554641724
speaker16,14.323530197143555,23.214557692323233,0.8385502469041088,1.3691850900650024
