FILE,SNR,PSNR,SSIM,PESQ
speaker1,23.17044973373413,29.970548145270204,0.8873394269208511,1.4765057563781738
speaker18,16.021932363510132,29.201076598924296,0.9512494850164743,1.3892498016357422
speaker19,11.58510684967041,28.92774334005619,0.9556699914155821,1.4667450189590454
speaker2,17.831056118011475,27.79919548343767,0.9563163420388453,1.5675694942474365
speaker20,16.086630821228027,28.94329021153456,0.9393243106731199,1.592848300933838
speaker21,18.883638381958008,28.389892699626806,0.9439788328161809,1.5025726556777954
speaker22,13.907418251037598,29.722274968172236,0.9474927794489981,1.513369083404541
speaker23,17.207621335983276,27.738394204837356,0.9578094952490064,1.438614845275879
speaker24,12.989996671676636,27.59892940594031,0.9514702071643731,1.551396369934082
speaker3,12.944127321243286,27.6069902444784,0.9575139298695772,1.4276553392410278
speaker4,13.61269474029541,28.168840909689962,0.9577392168914509,1.6394989490509033
speaker10,21.62435293197632,28.25097610767059,0.9508016547006892,1.7376430034637451
speaker5,22.311389446258545,28.533425472437933,0.9579109304196273,1.6959956884384155
speaker6,16.551823616027832,28.22055840995409,0.953908759278545,1.7318906784057617
speaker6,11.303962469100952,28.213551272105004,0.9504013514747098,1.0387446880340576
speaker7,13.370671272277832,28.423002904937352,0.9474637175044451,1.0604089498519897
speaker8,15.138078927993774,30.012185743723627,0.9538232518652775,1.3706543445587158
speaker9,12.304584980010986,28.074169362180285,0.9496344305282354,1.2670575380325317
speaker11,14.793803691864014,27.989858322306077,0.9536203492753142,1.1414880752563477
speaker12,13.690130710601807,28.40775009816589,0.9494057810029584,1.0639607906341553
speaker13,12.672635316848755,29.140096015941353,0.9561337832484811,1.3144078254699707
speaker14,12.962071895599365,27.168507911230662,0.951789608040038,1.1007494926452637
speaker15,21.4420485496521,29.250673234527284,0.9387087537699134,1.0692156553268433
speaker16,15.504547357559204,28.679216030907455,0.943945605325756,1.203360915184021
