FILE,SNR,PSNR,SSIM,PESQ
speaker1,27.072784900665283,21.730424033267198,0.6898562616059413,1.3896021842956543
speaker18,13.790353536605835,21.3260536102333,0.7429479809510873,1.4277876615524292
speaker19,22.749521732330322,20.998727733671046,0.7714023056351312,1.576730728149414
speaker2,12.591761350631714,21.334604956239826,0.779763483629859,1.8065102100372314
speaker20,21.838417053222656,21.241941154851226,0.7448528316442167,1.4994215965270996
speaker21,25.01487970352173,21.10751920819883,0.7562775307024511,1.5102601051330566
speaker22,22.30555772781372,20.818632985505552,0.7520724022141538,1.6152697801589966
speaker23,15.758002996444702,20.901859122517735,0.7746038423920133,1.4348288774490356
speaker24,11.7496919631958,20.639973595641944,0.7527263890461288,1.727938175201416
speaker3,20.10782480239868,21.78876244126593,0.8007811559666189,1.5400595664978027
speaker4,17.70736813545227,20.608240335157202,0.7564483027628633,1.8530266284942627
speaker10,24.971628189086914,20.46004884838885,0.7679913217063301,1.685848355293274
speaker5,27.780005931854248,20.841685515256927,0.7517626255321597,1.6733384132385254
speaker6,18.283486366271973,20.993652052898145,0.7731667744647488,1.9703863859176636
speaker6,20.666334629058838,20.973035092106294,0.7608669174453349,1.0377755165100098
speaker7,19.98849868774414,21.19521744019785,0.7559594277573028,1.0475294589996338
speaker8,15.735266208648682,21.094412211685245,0.7748350550908186,1.283109426498413
speaker9,17.670819759368896,21.315124343199805,0.7657281574496015,1.052192211151123
speaker11,12.430983781814575,21.59003717485372,0.7746218546048853,1.1437251567840576
speaker12,20.465259552001953,21.159761204505187,0.7578808794647368,1.092287540435791
speaker13,27.69228458404541,21.326135485962574,0.7819609363573256,1.2462610006332397
speaker14,20.76237201690674,21.60991734056011,0.8066917366339029,1.0897126197814941
speaker15,22.251534461975098,21.665595518909843,0.7582600421689746,1.0463666915893555
speaker16,18.84476065635681,22.26459374090186,0.7624473115325989,1.1308975219726562
