FILE,SNR,PSNR,SSIM,PESQ
speaker1,13.992308378219604,30.121275234512396,0.7682807172282478,2.6353540420532227
speaker18,14.412120580673218,29.972480920708296,0.891923148111409,2.8584389686584473
speaker19,13.098058700561523,28.69167629138671,0.9279514280248724,2.550398111343384
speaker2,13.573228120803833,27.90676427117374,0.9340656703041934,2.512450695037842
speaker20,14.613618850708008,30.301173564932885,0.9090859081038416,2.6047372817993164
speaker21,14.210354089736938,27.64082557880764,0.9250305157389123,2.854686737060547
speaker22,13.901571035385132,30.6129595136957,0.8921945855950617,2.470341682434082
speaker23,13.32970142364502,29.35053280530463,0.9517286668193743,2.350651979446411
speaker24,12.35489010810852,28.915585947741363,0.9332536204742624,2.758718252182007
speaker3,12.52938985824585,27.480910668157286,0.9493804594820627,2.549480438232422
speaker4,15.329126119613647,30.742423718304778,0.941036417588678,2.49599027633667
speaker10,15.432274341583252,29.07875285483854,0.9292734904451613,2.7168638706207275
speaker5,12.946012020111084,28.96318716158682,0.9185332951755434,2.7955501079559326
speaker6,15.038841962814331,27.871029879257495,0.9454642995034838,2.8227322101593018
speaker6,15.917112827301025,30.04496035606602,0.9287103037140146,1.0423810482025146
speaker7,19.628007411956787,28.245559273565497,0.9114702161273143,1.0571738481521606
speaker8,13.730571269989014,30.223941433517993,0.9160955880863301,1.4793658256530762
speaker9,18.344563245773315,28.6352419460624,0.9347917346669078,1.1021671295166016
speaker11,17.008678913116455,28.633728302986224,0.9446152879420426,1.135465383529663
speaker12,23.553154468536377,28.311995255885407,0.9275837399393964,1.0767221450805664
speaker13,15.005855560302734,29.836969263863278,0.9213591961673202,1.2315791845321655
speaker14,14.380929470062256,27.486063761923752,0.9581026207257205,1.075412392616272
speaker15,23.26624870300293,29.019347049397773,0.8996481622553766,1.0639541149139404
speaker16,15.219501256942749,29.8345175052693,0.9156755284051602,1.222800374031067
